type,message
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hello {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hello {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hello {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hi {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hi {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hi {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hey {firstName}, I wanted to ask something about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hey {firstName}, I had a quick question about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Give me a shout!?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Can we hop on a quick call?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Do you still have it? Can we talk?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Give me a shout!?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Can we hop on a quick call?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Do you still own it? Can we talk?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Give me a shout!?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Can we hop on a quick call?"
Main,"Hey {firstName}, I wanted to check about {propertyAddress}. Is the property still under your name? Can we talk?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? Can I speak to you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? Can we discuss?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? can I call you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, Do you still own it? Can we hop on a call?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, Do you still own it? Can I speak to you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, Do you still own it? Can we discuss?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, Do you still own it? can I call you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we discuss?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I call you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"Good day! {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? can I call you?"
Main,"Good day! {firstName}, Just following up about {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"Good day! {firstName}, Just following up about {propertyAddress}, is it still yours? Can I speak to you?"
Main,"Good day! {firstName}, Just following up about {propertyAddress}, is it still yours? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? Can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? Can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? Can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? can I call you?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, is it still yours? Can I speak to you?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, is it still yours? Can we discuss?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, is it still yours? can I call you?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, do you still own it? Can we discuss?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, do you still own it? can I call you?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How's it going {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can I call you?"
Main,"How are you {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I call you?"
Main,"How are you {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How are you {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How are you {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How are you {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? can I call you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, is it still yours? Can I speak to you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, is it still yours? Can we discuss?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, is it still yours? can I call you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, do you still own it? Can we discuss?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, do you still own it? can I call you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still connected to it, can I call you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How are you {firstName}, Just following up about {propertyAddress}, are you still associated with it? can I call you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, is it still yours? Can I speak to you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, is it still yours? Can we discuss?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, is it still yours? can I call you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, do you still own it? Can we discuss?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, do you still own it? can I call you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still connected to it, can I call you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How are you {firstName}, Quick question for u about {propertyAddress}, are you still associated with it? can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? Can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, is it still yours? can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, do you still own it? can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still connected to it, can I call you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How's it going {firstName}, I hope you're doing well. About {propertyAddress}, are you still associated with it? can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? Can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? Can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? Can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, is it still yours? can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? Can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? Can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? Can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, do you still own it? can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still connected to it, can I call you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can we hop on a call?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can I speak to you?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? Can we discuss?"
Main,"How's it going {firstName}, Just following up about {propertyAddress}, are you still associated with it? can I call you?"
